R1SZFUL,R1SZELETSZ,R1SZKSORSZ
J2063,3408420638,6
J2064,3408420645,8
J2065,3408420652,8
J2068,3408420683,5
J2070,3408420708,9
J2071,3408420715,9
J2073,3408420739,6
J2074,3408420746,15
J2075,3408420753,6
J2076,3408420760,8
J2077,3408420777,4
J2078,3408420784,12
J2080,3408420809,4
J2081,3408420816,10
J2084,3408420847,5
J2085,3408420854,14
J2086,3408420861,6
J2088,3408420885,4
J2089,3408420892,3
J2090,3408420900,2
J2091,3408420917,9
J2092,3408420924,1
J2093,3408420931,5
J2094,3408420948,10
J2095,3408420955,5
J2097,3408420979,8
J2098,3408420986,11
J2099,3408420993,16
J2102,3408421028,18
J2103,3408421035,11
J2104,3408421042,3
J2105,3408421059,4
J2107,3408421073,8
J2108,3408421080,6
J2109,3408421097,12
J2111,3408421112,10
J2112,3408421129,6
J2113,3408421136,6
J2114,3408421143,3
J2115,3408421150,12
J2117,3408421174,7
J2118,3408421181,5
J2119,3408421198,4
J2120,3408421206,8
J2121,3408421213,8
J2124,3408421244,6
J2125,3408421251,7
J2126,3408421268,6
J2127,3408421275,7
J2128,3408421282,8
J2129,3408421299,12
J2130,3408421307,4
J2135,3408421352,12
J2136,3408421369,2
J2137,3408421376,6
J2138,3408421383,8
J2139,3408421390,17
J2140,3408421408,4
J2141,3408421415,7
J2142,3408421422,10
J2143,3408421439,8
J2144,3408421446,8
J2145,3408421453,9
J2147,3408421477,4
J2148,3408421484,6
J2149,3408421491,0
J2150,3408421509,10
J2151,3408421516,5
J2152,3408421523,4
J2154,3408421547,6
J2155,3408421554,5
J2156,3408421561,7
J2159,3408421592,4
J2160,3408421600,3
J2162,3408421624,9
J2163,3408421631,5
J2164,3408421648,7
J2165,3408421655,15
J2166,3408421662,9
J2167,3408421679,6
J2168,3408421686,6
J2169,3408421693,7
J2171,3408421718,4
J2172,3408421725,11
J2173,3408421732,11
J2174,3408421749,8
J2175,3408421756,4
J2176,3408421763,8
J2177,3408421770,8
J2179,3408421794,6
J2180,3408421802,4
J2181,3408421819,6
J2183,3408421833,2
J2187,3408421871,6
J2189,3408421895,9
J2190,3408421903,5
J2192,3408421927,6
J2193,3408421934,13
J2195,3408421958,12
J2197,3408421972,6
J2198,3408421989,0
J2199,3408421996,6
J2200,3408422007,4
J2201,3408422014,11
J2202,3408422021,7
J2204,3408422045,6
J2205,3408422052,6
J2206,3408422069,10
J2207,3408422076,5
J2208,3408422083,5
J2209,3408422090,5
J2210,3408422108,4
J2212,3408422122,5
J2213,3408422139,6
J2216,3408422160,4
J2217,3408422177,8
J2220,3408422209,6
J2223,3408422230,2
J2224,3408422247,7
J2225,3408422254,4
J2226,3408422261,2
J2230,3408422300,5
J2231,3408422317,9
J2232,3408422324,2
J2233,3408422331,8
J2234,3408422348,7
J2236,3408422362,3
J2237,3408422379,4
J2239,3408422393,3
J2240,3408422401,8
J2241,3408422418,5
J2242,3408422425,6
J2243,3408422432,7
J2244,3408422449,3
J2245,3408422456,0
J2246,3408422463,5
J2249,3408422494,7
J2250,3408422502,9
J2251,3408422519,4
J2252,3408422526,9
J2253,3408422533,3
